year,sexe,age,esperance
2018,femmes,19,66.9
2019,femmes,19,67.0
2020,femmes,19,66.5
2021,femmes,19,66.7
2022,femmes,19,66.6
2023,femmes,19,67.1
2024,femmes,19,67.3
1998,femmes,20,63.2
1999,femmes,20,63.3
2000,femmes,20,63.6
2001,femmes,20,63.6
2002,femmes,20,63.5
2003,femmes,20,63.3
2004,femmes,20,64.3
2005,femmes,20,64.3
2006,femmes,20,64.9
2007,femmes,20,65.3
2008,femmes,20,65.3
2009,femmes,20,65.4
2010,femmes,20,65.7
2011,femmes,20,66.1
2012,femmes,20,65.8
2013,femmes,20,66.1
2014,femmes,20,65.8
2015,femmes,20,65.6
2016,femmes,20,65.8
2017,femmes,20,65.8
2018,femmes,20,65.9
2019,femmes,20,66.0
2020,femmes,20,65.5
2021,femmes,20,65.7
2022,femmes,20,65.6
2023,femmes,20,66.2
2024,femmes,20,66.3
1998,femmes,21,62.2
1999,femmes,21,62.3
2000,femmes,21,62.6
2001,femmes,21,62.6
2002,femmes,21,62.6
2003,femmes,21,62.3
2004,femmes,21,63.4
2005,femmes,21,63.3
2006,femmes,21,64.0
2007,femmes,21,64.3
2008,femmes,21,64.3
2009,femmes,21,64.5
2010,femmes,21,64.7
2011,femmes,21,65.2
2012,femmes,21,64.8
2013,femmes,21,65.1
2014,femmes,21,64.8
2015,femmes,21,64.6
2016,femmes,21,64.8
2017,femmes,21,64.8
2018,femmes,21,64.9
2019,femmes,21,65.0
2020,femmes,21,64.6
2021,femmes,21,64.7
2022,femmes,21,64.6
2023,femmes,21,65.2
2024,femmes,21,65.3
1998,femmes,22,61.3
1999,femmes,22,61.3
2000,femmes,22,61.6
2001,femmes,22,61.6
2002,femmes,22,61.6
2003,femmes,22,61.3
2004,femmes,22,62.4
2005,femmes,22,62.3
2006,femmes,22,63.0
2007,femmes,22,63.3
2008,femmes,22,63.3
2009,femmes,22,63.5
2010,femmes,22,63.8
2011,femmes,22,64.2
2012,femmes,22,63.8
2013,femmes,22,64.1
2014,femmes,22,63.8
2015,femmes,22,63.6
2016,femmes,22,63.8
2017,femmes,22,63.8
2018,femmes,22,64.0
2019,femmes,22,64.1
2020,femmes,22,63.6
2021,femmes,22,63.7
2022,femmes,22,63.6
2023,femmes,22,64.2
2024,femmes,22,64.3
1998,femmes,23,60.3
1999,femmes,23,60.4
2000,femmes,23,60.6
2001,femmes,23,60.6
2002,femmes,23,60.6
2003,femmes,23,60.3
2004,femmes,23,61.4
2005,femmes,23,61.4
2006,femmes,23,62.0
2007,femmes,23,62.3
2008,femmes,23,62.3
2009,femmes,23,62.5
2010,femmes,23,62.8
2011,femmes,23,63.2
2012,femmes,23,62.9
2013,femmes,23,63.1
2014,femmes,23,62.9
2015,femmes,23,62.6
2016,femmes,23,62.8
2017,femmes,23,62.9
2018,femmes,23,63.0
2019,femmes,23,63.1
2020,femmes,23,62.6
2021,femmes,23,62.7
2022,femmes,23,62.6
2023,femmes,23,63.2
2024,femmes,23,63.3
1998,femmes,24,59.3
1999,femmes,24,59.4
2000,femmes,24,59.6
2001,femmes,24,59.7
2002,femmes,24,59.6
2003,femmes,24,59.3
2004,femmes,24,60.4
2005,femmes,24,60.4
2006,femmes,24,61.0
2007,femmes,24,61.3
2008,femmes,24,61.4
2009,femmes,24,61.5
2010,femmes,24,61.8
2011,femmes,24,62.2
2012,femmes,24,61.9
2013,femmes,24,62.1
2014,femmes,24,61.9
2015,femmes,24,61.6
2016,femmes,24,61.8
2017,femmes,24,61.9
2018,femmes,24,62.0
2019,femmes,24,62.1
2020,femmes,24,61.6
2021,femmes,24,61.7
2022,femmes,24,61.7
2023,femmes,24,62.2
2024,femmes,24,62.3
1998,femmes,25,58.3
1999,femmes,25,58.4
2000,femmes,25,58.7
2001,femmes,25,58.7
2002,femmes,25,58.6
2003,femmes,25,58.4
2004,femmes,25,59.4
2005,femmes,25,59.4
2006,femmes,25,60.0
2007,femmes,25,60.3
2008,femmes,25,60.4
2009,femmes,25,60.5
2010,femmes,25,60.8
2011,femmes,25,61.2
2012,femmes,25,60.9
2013,femmes,25,61.1
2014,femmes,25,60.9
2015,femmes,25,60.6
2016,femmes,25,60.9
2017,femmes,25,60.9
2018,femmes,25,61.0
2019,femmes,25,61.1
2020,femmes,25,60.6
2021,femmes,25,60.7
2022,femmes,25,60.7
2023,femmes,25,61.2
2024,femmes,25,61.3
1998,femmes,26,57.4
1999,femmes,26,57.4
2000,femmes,26,57.7
2001,femmes,26,57.7
2002,femmes,26,57.7
2003,femmes,26,57.4
2004,femmes,26,58.4
2005,femmes,26,58.4
2006,femmes,26,59.0
2007,femmes,26,59.4
2008,femmes,26,59.4
2009,femmes,26,59.5
2010,femmes,26,59.8
2011,femmes,26,60.2
2012,femmes,26,59.9
2013,femmes,26,60.2
2014,femmes,26,59.9
2015,femmes,26,59.7
2016,femmes,26,59.9
2017,femmes,26,59.9
2018,femmes,26,60.0
2019,femmes,26,60.1
2020,femmes,26,59.6
2021,femmes,26,59.8
2022,femmes,26,59.7
2023,femmes,26,60.2
2024,femmes,26,60.4
1998,femmes,27,56.4
1999,femmes,27,56.5
2000,femmes,27,56.7
2001,femmes,27,56.7
2002,femmes,27,56.7
2003,femmes,27,56.4
2004,femmes,27,57.5
2005,femmes,27,57.4
2006,femmes,27,58.1
2007,femmes,27,58.4
2008,femmes,27,58.4
2009,femmes,27,58.6
2010,femmes,27,58.8
2011,femmes,27,59.3
2012,femmes,27,58.9
2013,femmes,27,59.2
2014,femmes,27,58.9
2015,femmes,27,58.7
2016,femmes,27,58.9
2017,femmes,27,58.9
2018,femmes,27,59.0
2019,femmes,27,59.1
2020,femmes,27,58.6
2021,femmes,27,58.8
2022,femmes,27,58.7
2023,femmes,27,59.3
2024,femmes,27,59.4
1998,femmes,28,55.4
1999,femmes,28,55.5
2000,femmes,28,55.7
